24,69,54
2,53,91
72,79,47
80,51,97
8,65,3
26,40,87
32,22,30
91,32,96
50,45,77
52,67,14
50,33,3
93,77,44
50,82,82
70,86,92
39,74,35
21,24,36
19,61,29
46,56,77
60,12,21
80,58,90
96,15,82
24,46,99
32,35,10
47,62,1
57,75,43
0,99,97
16,25,53
27,37,27
50,90,29
79,39,81
59,76,14
51,32,34
100,70,36
80,23,5
16,30,68
77,96,37
34,33,53
21,48,83
10,34,47
6,28,79
77,27,93
0,70,36
69,28,60
24,24,23
73,38,95
40,52,31
0,50,7
97,67,78
83,69,96
25,31,45
4,99,18
26,81,96
83,14,87
46,98,11
42,24,17
49,91,30
38,98,72
30,30,91
50,3,75
67,73,8
12,83,12
27,73,68
30,39,90
44,92,65
8,68,75
4,62,88
1,40,91
74,38,39
25,73,26
1,94,6
49,87,82
19,41,30
14,54,20
11,59,15
51,41,49
43,51,30
82,91,6
94,74,80
94,80,33
43,10,78
42,29,54
64,99,72
33,75,80
52,63,89
72,48,56
81,33,75
50,73,21
0,65,32
24,34,52
74,48,60
34,16,19
57,99,81
42,37,71
61,28,24
15,23,6
7,23,57
48,85,70
100,32,36
83,29,24
24,51,56
40,88,59
59,79,24
11,100,70
10,96,92
24,63,81
99,33,1
9,87,76
6,25,75
73,49,28
97,72,69
7,96,10
51,23,13
9,36,90
49,24,72
53,94,76
64,1,37
4,74,61
6,64,63
79,33,39
29,50,34
72,59,4
46,99,47
71,72,65
33,78,42
