80,42,39
57,18,49
58,29,77
51,13,68
72,95,77
2,99,73
40,62,28
51,73,27
33,32,9
44,10,98
70,77,63
68,42,22
36,3,16
15,33,52
36,69,27
28,98,60
35,32,87
19,31,1
10,83,48
33,7,81
64,39,68
84,25,71
11,45,80
58,37,59
9,12,42
30,0,89
65,36,36
18,71,95
5,34,23
84,5,44
74,85,3
24,11,57
18,74,87
26,29,52
29,32,39
57,37,76
41,95,88
81,39,30
25,20,48
28,19,38
66,86,71
96,94,58
63,78,79
81,55,31
7,90,59
89,35,78
38,69,43
22,53,90
61,25,1
6,3,24
78,87,39
4,49,12
80,82,40
64,16,52
4,55,20
100,16,68
13,14,29
51,64,59
71,39,10
65,22,29
82,72,79
68,95,100
6,26,55
97,53,54
7,48,85
36,4,37
97,63,11
93,66,70
36,95,72
46,71,52
95,74,2
89,32,67
4,11,25
43,16,25
81,94,58
94,90,16
22,35,51
86,38,71
75,16,96
88,32,96
96,37,52
31,25,54
39,50,77
97,98,62
98,72,47
16,46,78
50,100,30
17,82,19
48,34,38
9,59,68
35,57,52
9,42,47
43,84,67
18,38,71
45,34,78
59,21,19
15,35,67
18,21,81
83,59,22
95,56,48
10,60,4
96,77,90
84,32,77
86,49,23
47,91,96
82,76,97
97,18,59
18,50,37
36,65,67
35,85,43
22,32,20
72,91,13
49,33,92
65,42,53
16,36,10
45,86,36
92,17,75
42,32,80
97,78,75
7,59,72
81,72,22
29,12,37
39,25,92
